lat,lng,buildings
25.0316,-83.2637,5
34.705,-75.5278,158
26.6611,-80.856,16398
28.0995,-96.4747,4076
32.0881,-82.3704,20487
28.3909,-98.7077,13847
31.1906,-103.014,1195
37.7401,-81.2831,20478
36.8203,-81.7899,7607
27.425,-81.6311,18226
30.0322,-103.143,1606
28.5108,-95.2753,3855
36.4986,-84.3808,15962
38.6707,-80.7562,13183
34.6423,-76.8193,15362
37.6083,-82.6415,6291
30.4098,-92.6619,11620
38.1643,-74.3868,2427
35.4381,-77.5557,26713
36.6856,-83.1203,12945
25.6234,-81.1441,2898
34.5661,-78.1073,55840
36.3107,-97.464,15931
26.3814,-81.9171,327652
33.7851,-77.3751,4980
38.783,-79.3602,35014
33.5572,-79.8242,12523
37.046,-79.1029,14849
37.9576,-78.541,43725
37.8567,-79.9158,14327
37.1364,-77.7492,537605
30.9588,-100.677,38093
34.4407,-84.9638,372205
32.3278,-81.2476,168060
36.1445,-79.6441,202829
30.7115,-104.251,1319
33.7045,-78.6397,33978
36.2396,-78.3166,298003
31.1059,-97.1367,74260
38.1116,-75.7749,54230
34.4765,-79.3906,7864
37.4615,-83.9894,7005
38.8788,-77.957,424774
38.0427,-77.1601,295364
29.1017,-99.7588,1184
32.9691,-90.9886,1852
36.9406,-80.4503,35103
38.9579,-76.5483,1615424
25.7022,-171.407,11
53.7094,-164.601,1
59.2742,-159.939,1
23.8114,-166.541,3
57.6125,-136.955,1
56.3405,-160.393,49
60.085,-167.175,1
59.7623,-158.06,138
61.7821,-157.546,47
64.2937,-154.665,3
62.9574,-171.685,7
55.8392,-155.793,3
59.7626,-161.661,5
52.8087,-168.647,36
68.5135,-152.598,149
62.3249,-159.375,1
21.3695,-160.444,68
55.8319,-162.037,1
63.9789,-144.263,595
61.6157,-142.307,182
62.0429,-151.637,127
59.666,-154.525,38
57.3327,-133.467,476
67.6728,-143.076,2
56.5557,-134.4,101
59.5074,-145.809,21
56.2561,-154.102,3
58.7709,-158.29,187
56.8269,-158.704,2
69.5853,-151.941,3
65.924,-142.45,6
69.1949,-146.809,22
66.6763,-144.07,166
61.0516,-152.124,44
63.0436,-151.111,195
61.7519,-147.95,236
59.4203,-138.81,402
66.5534,-158.372,1
55.3025,-163.636,58
60.4367,-145.137,1025
57.7279,-155.201,37
66.0936,-149.249,100
62.7251,-147.293,22
63.0123,-145.066,174
51.5117,-177.219,344
67.8264,-150.48,71
66.7781,-151.152,100
69.9372,-148.918,496
58.5249,-151.542,11
54.8845,-162.116,624
69.3043,-165.655,6
68.1906,-165.6,306
65.9913,-165.504,213
54.721,-164.972,10
70.4371,-159.954,287
61.7229,-165.358,206
58.4114,-136.078,290
55.8751,-158.892,116
61.0963,-146.503,703
54.1063,-166.214,502
70.9281,-156.893,2113
62.051,-145.811,607
60.7864,-148.561,943
62.4017,-149.485,322
30.2182,-86.0736,164885
55.4362,-131.959,917
65.397,-147.473,6147
59.8295,-149.13,173
57.5812,-151.973,2041
65.3675,-167.774,195
64.3919,-148.199,9341
66.6689,-14.0903,29
63.739,-16.8274,422
66.0289,-21.1902,1524
64.9023,-13.7814,5365
44.1687,20.6841,134097
41.251,49.9137,3
39.4135,49.201,592
40.1471,50.2365,31576
52.2537,18.2919,619096
53.0792,17.4017,414672
53.122,20.9598,354025
51.3985,22.6387,695654
53.8857,16.4908,207236
53.0184,15.6343,277006
53.9345,18.2859,446009
54.7361,17.3724,147346
53.1035,22.7437,415749
53.1138,19.178,489498
52.2745,20.049,771601
52.2692,21.8098,941562
49.5254,62.3869,14
51.3399,63.8174,110
49.6275,65.5084,62
43.1076,50.6776,3
44.1934,54.4733,2
45.8539,59.8252,16
48.4523,65.5532,13
49.3414,59.3069,125
50.7996,65.4616,26
43.7676,55.9458,26
47.9304,56.5284,65
48.0231,77.8101,269
46.8552,77.588,298
46.7015,67.1026,6
46.3892,76.0144,42
46.0608,55.4629,11
48.2521,74.7739,721
44.8391,62.8135,27
47.2219,71.6157,8
48.4789,84.0825,2528
43.4653,53.2766,18412
48.1105,82.4334,910
50.2099,70.2605,928
47.9876,52.0589,8396
48.4008,71.7074,2563
53.736,67.0415,5632
51.4063,67.0638,2182
43.0541,54.7302,15
45.2158,75.8359,1706
47.288,68.6035,63
42.7313,52.1184,1442
47.6093,53.6379,3730
52.5739,67.053,32
46.1073,68.5801,96
44.9266,68.5577,80
48.861,60.9152,998
48.1808,59.4872,5351
46.328,58.3019,21
51.8541,62.1433,472
46.5262,61.1974,7115
47.7481,73.1802,1276
45.5216,67.1113,63
47.881,67.0936,11949
44.3422,67.1196,6776
42.5693,68.5156,18524
54.3163,68.7686,40834
43.747,68.5362,52265
48.9245,73.308,824
49.5776,71.8033,5886
53.0858,72.1193,801
50.5943,75.1117,3053
50.0982,73.4417,54524
49.2578,82.7659,11400
48.8719,81.095,7300
50.0234,81.4035,18260
51.7596,75.2926,9325
51.9906,68.7083,9116
51.9211,72.0089,5939
50.7514,71.9037,74537
26.1522,58.7621,69
32.0311,59.0921,18
33.4193,55.4294,573
26.2328,60.8466,541
28.8044,59.4941,109
27.7518,59.6198,85
33.3272,49.7734,1116
37.5994,48.5348,2079
30.1953,50.6042,3430
28.3209,60.6351,612
27.8284,61.7649,1327
35.1042,46.9913,926
30.0116,53.8674,125
34.0646,56.4744,105
37.9462,47.2287,2427
30.5801,49.4375,5819
25.2083,60.9475,2647
25.6841,59.8597,532
35.0757,50.4352,61816
36.8772,47.5754,162
36.1528,50.142,12645
39.7627,47.8509,1901
31.612,49.1508,4486
36.8544,51.1396,13623
38.2756,45.9219,6756
38.3226,49.5254,409
30.8075,57.0131,7097
31.5436,60.2917,98
27.2705,60.7425,615
27.3385,53.3692,170
37.2145,46.2899,1077
31.231,50.3358,498
36.4702,58.4894,3050
38.6795,48.1987,4751
35.7662,51.4205,87575
44.166,19.104,236172
9.64927,99.3101,4893
16.1422,100.111,2994
12.2006,101.127,14246
18.0952,99.5924,3675
15.2979,100.955,1558
8.21806,97.8326,41106
14.4501,101.793,5657
13.0487,100.291,25393
52.9866,26.3038,103963
53.0583,24.5261,153649
52.2376,23.571,318363
53.774,27.3009,358421
35.7055,32.0109,423
38.726,31.7075,3366
37.6734,32.2899,37625
36.4464,34.2655,7868
38.8719,43.2999,33568
36.6142,32.8579,26544
42.3883,33.791,1561
40.9415,37.2856,24538
37.7681,38.7935,28344
37.9907,37.4108,2581
41.3527,34.3677,6888
40.3085,34.9294,4541
41.2563,41.051,9031
41.5318,32.883,5243
41.6925,31.3834,5457
38.9919,28.774,2840
39.9297,42.8747,1742
39.052,36.8996,3683
37.8207,30.8488,19376
38.5847,44.6167,1156
38.8316,38.3043,15092
41.1557,35.8358,23419
40.4927,33.4671,18880
37.9508,29.3965,102764
36.9018,30.0042,45733
37.0206,28.5614,32597
36.7662,31.4369,88770
35.8459,30.5976,8693
37.3296,35.1313,17951
70.9972,-148.004,11
38.0634,27.9345,43893
76.2907,16.8931,1
65.4722,10.3451,7
68.5508,2.83398,1
79.8427,12.2177,10
78.83,12.5233,125
77.8306,12.7755,230
77.2724,17.0171,19
64.7,10.5362,14092
67.4359,11.9434,1670
70.4524,-9.29421,16
69.8316,16.3729,843
66.6234,12.0881,7220
13.3275,101.459,20152
70.6839,24.355,13401
64.1604,7.7242,881
70.4359,21.5864,6224
15.5676,102.13,2189
71.0555,30.1795,2224
63.4528,6.88027,9898
11.3511,101.956,14
70.8915,27.2226,6143
64.0258,9.6462,28941
60.4329,9.26378,93145
67.791,14.0669,20263
65.0047,12.2168,19621
60.3045,7.36501,26562
68.9693,16.327,57548
70.1507,18.9242,10589
62.0071,11.0074,46337
68.629,14.0042,26139
58.7938,7.64077,40220
61.053,8.14848,51939
63.3335,8.7828,57790
71.5742,24.8558,192
57.9511,6.87144,67902
60.5921,11.2229,257940
59.6212,8.43781,77671
65.8256,12.2212,33991
66.968,14.1242,50258
62.6183,9.86931,38718
78.2682,17.1637,1229
58.1432,8.71161,138672
69.2812,18.753,74047
58.9757,9.51975,245699
63.3762,10.7789,178388
59.7921,10.3565,666420
60.3856,5.57924,267387
59.6041,4.83694,107088
58.7548,5.86445,212147
70.1844,29.4178,17117
68.9456,23.4963,3108
69.5617,21.2801,16462
69.1542,26.0742,5022
63.0544,24.4246,10233
67.5596,26.991,7621
63.1844,26.3649,16695
65.8474,27.1494,14673
64.7719,24.1256,6650
61.9655,21.8201,37842
62.1201,23.6356,27294
62.7262,20.7019,14917
64.1139,27.2896,31770
65.04,28.2813,9098
63.9879,25.2693,15227
63.837,23.3031,77552
61.0308,21.1497,42667
62.9011,22.5363,79922
64.9193,26.1754,46194
30.4581,60.4099,15
62.362,27.4146,97028
60.2528,22.205,115208
60.3881,23.9348,228847
61.1859,22.8972,126270
-2.08134,122.777,31
-4.76551,117.895,87
-1.37599,127.165,15
0.0319818,123.511,502
1.48214,126.085,666
-6.61483,118.235,718
